Crop,State,Market,Year,Month,Season,Price_per_Quintal,Cost_per_Quintal,Profit
Rice,Maharashtra,Nagpur,2023,4,Zaid,1387,910.0,477.0
Rice,Maharashtra,Aurangabad,2023,5,Zaid,1386,910.0,476.0
Rice,Maharashtra,Aurangabad,2023,6,Kharif,1424,910.0,514.0
Rice,Maharashtra,Nagpur,2023,7,Kharif,1436,910.0,526.0
Rice,Maharashtra,Aurangabad,2023,8,Kharif,1422,910.0,512.0
Rice,Maharashtra,Pune,2023,9,Kharif,1410,910.0,500.0
Rice,Maharashtra,Aurangabad,2023,10,Rabi,1459,910.0,549.0
Rice,Maharashtra,Pune,2023,11,Rabi,1455,910.0,545.0
Rice,Maharashtra,Pune,2023,12,Rabi,1444,910.0,534.0
Rice,Maharashtra,Pune,2024,1,Rabi,1329,910.0,419.0
Rice,Maharashtra,Pune,2024,2,Rabi,1350,910.0,440.0
Rice,Maharashtra,Pune,2024,3,Rabi,1382,910.0,472.0
Rice,Maharashtra,Aurangabad,2024,4,Zaid,1317,910.0,407.0
Rice,Maharashtra,Nagpur,2024,5,Zaid,1387,910.0,477.0
Rice,Maharashtra,Aurangabad,2024,6,Kharif,1420,910.0,510.0
Rice,Maharashtra,Nagpur,2024,7,Kharif,1389,910.0,479.0
Rice,Maharashtra,Nagpur,2024,8,Kharif,1402,910.0,492.0
Rice,Maharashtra,Nashik,2024,9,Kharif,1389,910.0,479.0
Rice,Maharashtra,Aurangabad,2024,10,Rabi,1440,910.0,530.0
Rice,Maharashtra,Pune,2024,11,Rabi,1421,910.0,511.0
Rice,Maharashtra,Aurangabad,2024,12,Rabi,1501,910.0,591.0
Maize,Maharashtra,Pune,2022,1,Rabi,1198,840.0,358.0
Maize,Maharashtra,Nagpur,2022,2,Rabi,1227,840.0,387.0
Maize,Maharashtra,Nashik,2022,3,Rabi,1217,840.0,377.0
Maize,Maharashtra,Pune,2022,4,Zaid,1297,840.0,457.0
Maize,Maharashtra,Aurangabad,2022,5,Zaid,1323,840.0,483.0
Maize,Maharashtra,Nagpur,2022,6,Kharif,1325,840.0,485.0
Maize,Maharashtra,Pune,2022,7,Kharif,1289,840.0,449.0
Maize,Maharashtra,Pune,2022,8,Kharif,1368,840.0,528.0
Maize,Maharashtra,Nashik,2022,9,Kharif,1331,840.0,491.0
Maize,Maharashtra,Pune,2022,10,Rabi,1302,840.0,462.0
Maize,Maharashtra,Nashik,2022,11,Rabi,1319,840.0,479.0
Maize,Maharashtra,Nagpur,2022,12,Rabi,1343,840.0,503.0
Maize,Maharashtra,Pune,2023,1,Rabi,1191,840.0,351.0
Maize,Maharashtra,Nagpur,2023,2,Rabi,1258,840.0,418.0
Maize,Maharashtra,Nashik,2023,3,Rabi,1284,840.0,444.0
Maize,Maharashtra,Nagpur,2023,4,Zaid,1286,840.0,446.0
Maize,Maharashtra,Aurangabad,2023,5,Zaid,1287,840.0,447.0
Maize,Maharashtra,Pune,2023,6,Kharif,1291,840.0,451.0
Maize,Maharashtra,Aurangabad,2023,7,Kharif,1350,840.0,510.0
Maize,Maharashtra,Pune,2023,8,Kharif,1363,840.0,523.0
Maize,Maharashtra,Nagpur,2023,9,Kharif,1307,840.0,467.0
Maize,Maharashtra,Nagpur,2023,10,Rabi,1314,840.0,474.0
Maize,Maharashtra,Aurangabad,2023,11,Rabi,1343,840.0,503.0
Maize,Maharashtra,Aurangabad,2023,12,Rabi,1342,840.0,502.0
Maize,Maharashtra,Nagpur,2024,1,Rabi,1235,840.0,395.0
Maize,Maharashtra,Aurangabad,2024,2,Rabi,1265,840.0,425.0
Maize,Maharashtra,Nashik,2024,3,Rabi,1260,840.0,420.0
Maize,Maharashtra,Nashik,2024,4,Zaid,1254,840.0,414.0
Maize,Maharashtra,Pune,2024,5,Zaid,1281,840.0,441.0
Maize,Maharashtra,Aurangabad,2024,6,Kharif,1245,840.0,405.0
Maize,Maharashtra,Aurangabad,2024,7,Kharif,1282,840.0,442.0
Maize,Maharashtra,Aurangabad,2024,8,Kharif,1313,840.0,473.0
Maize,Maharashtra,Nashik,2024,9,Kharif,1314,840.0,474.0
Maize,Maharashtra,Aurangabad,2024,10,Rabi,1374,840.0,534.0
Maize,Maharashtra,Pune,2024,11,Rabi,1406,840.0,566.0
Maize,Maharashtra,Pune,2024,12,Rabi,1391,840.0,551.0
Soybean,Maharashtra,Pune,2022,1,Rabi,2465,1750.0,715.0
Soybean,Maharashtra,Nashik,2022,2,Rabi,2506,1750.0,756.0
Soybean,Maharashtra,Pune,2022,3,Rabi,2571,1750.0,821.0
Soybean,Maharashtra,Nagpur,2022,4,Zaid,2512,1750.0,762.0
Soybean,Maharashtra,Aurangabad,2022,5,Zaid,2594,1750.0,844.0
Soybean,Maharashtra,Pune,2022,6,Kharif,2566,1750.0,816.0
Soybean,Maharashtra,Pune,2022,7,Kharif,2616,1750.0,866.0
Soybean,Maharashtra,Nagpur,2022,8,Kharif,2666,1750.0,916.0
Soybean,Maharashtra,Aurangabad,2022,9,Kharif,2628,1750.0,878.0
Soybean,Maharashtra,Nagpur,2022,10,Rabi,2678,1750.0,928.0
Soybean,Maharashtra,Aurangabad,2022,11,Rabi,2646,1750.0,896.0
Soybean,Maharashtra,Pune,2022,12,Rabi,2717,1750.0,967.0
Soybean,Maharashtra,Pune,2023,1,Rabi,2516,1750.0,766.0
Soybean,Maharashtra,Pune,2023,2,Rabi,2541,1750.0,791.0
Soybean,Maharashtra,Aurangabad,2023,3,Rabi,2552,1750.0,802.0
Soybean,Maharashtra,Nashik,2023,4,Zaid,2521,1750.0,771.0
Soybean,Maharashtra,Nashik,2023,5,Zaid,2563,1750.0,813.0
Soybean,Maharashtra,Pune,2023,6,Kharif,2542,1750.0,792.0
Soybean,Maharashtra,Pune,2023,7,Kharif,2610,1750.0,860.0
Soybean,Maharashtra,Pune,2023,8,Kharif,2628,1750.0,878.0
Soybean,Maharashtra,Nashik,2023,9,Kharif,2586,1750.0,836.0
Soybean,Maharashtra,Nashik,2023,10,Rabi,2691,1750.0,941.0
Soybean,Maharashtra,Pune,2023,11,Rabi,2701,1750.0,951.0
Soybean,Maharashtra,Pune,2023,12,Rabi,2725,1750.0,975.0
Soybean,Maharashtra,Nagpur,2024,1,Rabi,2465,1750.0,715.0
Soybean,Maharashtra,Pune,2024,2,Rabi,2481,1750.0,731.0
Soybean,Maharashtra,Nashik,2024,3,Rabi,2538,1750.0,788.0
Soybean,Maharashtra,Nashik,2024,4,Zaid,2541,1750.0,791.0
Soybean,Maharashtra,Nagpur,2024,5,Zaid,2556,1750.0,806.0
Soybean,Maharashtra,Nagpur,2024,6,Kharif,2607,1750.0,857.0
Soybean,Maharashtra,Aurangabad,2024,7,Kharif,2629,1750.0,879.0
Soybean,Maharashtra,Nagpur,2024,8,Kharif,2586,1750.0,836.0
Soybean,Maharashtra,Aurangabad,2024,9,Kharif,2622,1750.0,872.0
Soybean,Maharashtra,Aurangabad,2024,10,Rabi,2668,1750.0,918.0
Soybean,Maharashtra,Nashik,2024,11,Rabi,2712,1750.0,962.0
Soybean,Maharashtra,Nagpur,2024,12,Rabi,2715,1750.0,965.0
Cotton,Maharashtra,Pune,2022,1,Rabi,4480,3150.0,1330.0
Cotton,Maharashtra,Aurangabad,2022,2,Rabi,4552,3150.0,1402.0
Cotton,Maharashtra,Nashik,2022,3,Rabi,4553,3150.0,1403.0
Cotton,Maharashtra,Pune,2022,4,Zaid,4589,3150.0,1439.0
Cotton,Maharashtra,Aurangabad,2022,5,Zaid,4527,3150.0,1377.0
Cotton,Maharashtra,Aurangabad,2022,6,Kharif,4598,3150.0,1448.0
Cotton,Maharashtra,Nashik,2022,7,Kharif,4573,3150.0,1423.0
Cotton,Maharashtra,Nagpur,2022,8,Kharif,4636,3150.0,1486.0
Cotton,Maharashtra,Aurangabad,2022,9,Kharif,4603,3150.0,1453.0
Cotton,Maharashtra,Nagpur,2022,10,Rabi,4695,3150.0,1545.0
Cotton,Maharashtra,Pune,2022,11,Rabi,4666,3150.0,1516.0
Cotton,Maharashtra,Aurangabad,2022,12,Rabi,4662,3150.0,1512.0
Cotton,Maharashtra,Nashik,2023,1,Rabi,4503,3150.0,1353.0
Cotton,Maharashtra,Nagpur,2023,2,Rabi,4480,3150.0,1330.0
Cotton,Maharashtra,Pune,2023,3,Rabi,4586,3150.0,1436.0
Cotton,Maharashtra,Nashik,2023,4,Zaid,4598,3150.0,1448.0
Cotton,Maharashtra,Nagpur,2023,5,Zaid,4547,3150.0,1397.0
Cotton,Maharashtra,Nashik,2023,6,Kharif,4633,3150.0,1483.0
Cotton,Maharashtra,Nagpur,2023,7,Kharif,4653,3150.0,1503.0
Cotton,Maharashtra,Nashik,2023,8,Kharif,4585,3150.0,1435.0
Cotton,Maharashtra,Pune,2023,9,Kharif,4644,3150.0,1494.0
Cotton,Maharashtra,Pune,2023,10,Rabi,4601,3150.0,1451.0
Cotton,Maharashtra,Nashik,2023,11,Rabi,4662,3150.0,1512.0
Cotton,Maharashtra,Pune,2023,12,Rabi,4641,3150.0,1491.0
Cotton,Maharashtra,Aurangabad,2024,1,Rabi,4501,3150.0,1351.0
Cotton,Maharashtra,Pune,2024,2,Rabi,4488,3150.0,1338.0
Cotton,Maharashtra,Nagpur,2024,3,Rabi,4593,3150.0,1443.0
Cotton,Maharashtra,Aurangabad,2024,4,Zaid,4557,3150.0,1407.0
Cotton,Maharashtra,Aurangabad,2024,5,Zaid,4527,3150.0,1377.0
Cotton,Maharashtra,Nashik,2024,6,Kharif,4563,3150.0,1413.0
Cotton,Maharashtra,Aurangabad,2024,7,Kharif,4587,3150.0,1437.0
Cotton,Maharashtra,Pune,2024,8,Kharif,4644,3150.0,1494.0
Cotton,Maharashtra,Aurangabad,2024,9,Kharif,4656,3150.0,1506.0
Cotton,Maharashtra,Aurangabad,2024,10,Rabi,4637,3150.0,1487.0
Cotton,Maharashtra,Nashik,2024,11,Rabi,4698,3150.0,1548.0
Cotton,Maharashtra,Aurangabad,2024,12,Rabi,4728,3150.0,1578.0
Sugarcane,Maharashtra,Nagpur,2022,1,Rabi,353,210.0,143.0
Sugarcane,Maharashtra,Pune,2022,2,Rabi,304,210.0,94.0
Sugarcane,Maharashtra,Aurangabad,2022,3,Rabi,312,210.0,102.0
Sugarcane,Maharashtra,Nashik,2022,4,Zaid,391,210.0,181.0
Sugarcane,Maharashtra,Nagpur,2022,5,Zaid,378,210.0,168.0
Sugarcane,Maharashtra,Pune,2022,6,Kharif,419,210.0,209.0
Sugarcane,Maharashtra,Aurangabad,2022,7,Kharif,395,210.0,185.0
Sugarcane,Maharashtra,Aurangabad,2022,8,Kharif,402,210.0,192.0
Sugarcane,Maharashtra,Nashik,2022,9,Kharif,417,210.0,207.0
Sugarcane,Maharashtra,Aurangabad,2022,10,Rabi,420,210.0,210.0
Sugarcane,Maharashtra,Aurangabad,2022,11,Rabi,434,210.0,224.0
Sugarcane,Maharashtra,Nagpur,2022,12,Rabi,437,210.0,227.0
Sugarcane,Maharashtra,Pune,2023,1,Rabi,331,210.0,121.0
Sugarcane,Maharashtra,Aurangabad,2023,2,Rabi,312,210.0,102.0
Sugarcane,Maharashtra,Nagpur,2023,3,Rabi,370,210.0,160.0
Sugarcane,Maharashtra,Nagpur,2023,4,Zaid,395,210.0,185.0
Sugarcane,Maharashtra,Nashik,2023,5,Zaid,346,210.0,136.0
Sugarcane,Maharashtra,Nashik,2023,6,Kharif,369,210.0,159.0
Sugarcane,Maharashtra,Nashik,2023,7,Kharif,405,210.0,195.0
Sugarcane,Maharashtra,Nagpur,2023,8,Kharif,377,210.0,167.0
Sugarcane,Maharashtra,Nashik,2023,9,Kharif,411,210.0,201.0
Sugarcane,Maharashtra,Nashik,2023,10,Rabi,420,210.0,210.0
Sugarcane,Maharashtra,Aurangabad,2023,11,Rabi,511,210.0,301.0
Sugarcane,Maharashtra,Pune,2023,12,Rabi,493,210.0,283.0
Sugarcane,Maharashtra,Aurangabad,2024,1,Rabi,333,210.0,123.0
Sugarcane,Maharashtra,Aurangabad,2024,2,Rabi,340,210.0,130.0
Sugarcane,Maharashtra,Aurangabad,2024,3,Rabi,313,210.0,103.0
Sugarcane,Maharashtra,Aurangabad,2024,4,Zaid,344,210.0,134.0
Sugarcane,Maharashtra,Aurangabad,2024,5,Zaid,373,210.0,163.0
Sugarcane,Maharashtra,Aurangabad,2024,6,Kharif,356,210.0,146.0
Sugarcane,Maharashtra,Nashik,2024,7,Kharif,446,210.0,236.0
Sugarcane,Maharashtra,Nashik,2024,8,Kharif,462,210.0,252.0
Sugarcane,Maharashtra,Nagpur,2024,9,Kharif,390,210.0,180.0
Sugarcane,Maharashtra,Aurangabad,2024,10,Rabi,436,210.0,226.0
Sugarcane,Maharashtra,Pune,2024,11,Rabi,507,210.0,297.0
Sugarcane,Maharashtra,Pune,2024,12,Rabi,475,210.0,265.0
