Crop,State,Market,Year,Month,Season,Price_per_Quintal,Cost_per_Quintal
Rice,Maharashtra,Pune,2023,11,Rabi,1455,910.0
Rice,Maharashtra,Pune,2023,12,Rabi,1444,910.0
Rice,Maharashtra,Pune,2024,1,Rabi,1329,910.0
Rice,Maharashtra,Pune,2024,2,Rabi,1350,910.0
Rice,Maharashtra,Pune,2024,3,Rabi,1382,910.0
Rice,Maharashtra,Aurangabad,2024,4,Zaid,1317,910.0
Rice,Maharashtra,Nagpur,2024,5,Zaid,1387,910.0
Rice,Maharashtra,Aurangabad,2024,6,Kharif,1420,910.0
Rice,Maharashtra,Nagpur,2024,7,Kharif,1389,910.0
Rice,Maharashtra,Nagpur,2024,8,Kharif,1402,910.0
Rice,Maharashtra,Nashik,2024,9,Kharif,1389,910.0
Rice,Maharashtra,Aurangabad,2024,10,Rabi,1440,910.0
Rice,Maharashtra,Pune,2024,11,Rabi,1421,910.0
Rice,Maharashtra,Aurangabad,2024,12,Rabi,1501,910.0
Maize,Maharashtra,Pune,2022,1,Rabi,1198,840.0
Maize,Maharashtra,Nagpur,2022,2,Rabi,1227,840.0
Maize,Maharashtra,Nashik,2022,3,Rabi,1217,840.0
Maize,Maharashtra,Pune,2022,4,Zaid,1297,840.0
Maize,Maharashtra,Aurangabad,2022,5,Zaid,1323,840.0
Maize,Maharashtra,Nagpur,2022,6,Kharif,1325,840.0
Maize,Maharashtra,Pune,2022,7,Kharif,1289,840.0
Maize,Maharashtra,Pune,2022,8,Kharif,1368,840.0
Maize,Maharashtra,Nashik,2022,9,Kharif,1331,840.0
Maize,Maharashtra,Pune,2022,10,Rabi,1302,840.0
Maize,Maharashtra,Nashik,2022,11,Rabi,1319,840.0
Maize,Maharashtra,Nagpur,2022,12,Rabi,1343,840.0
Maize,Maharashtra,Pune,2023,1,Rabi,1191,840.0
Maize,Maharashtra,Nagpur,2023,2,Rabi,1258,840.0
Maize,Maharashtra,Nashik,2023,3,Rabi,1284,840.0
Maize,Maharashtra,Nagpur,2023,4,Zaid,1286,840.0
Maize,Maharashtra,Aurangabad,2023,5,Zaid,1287,840.0
Maize,Maharashtra,Pune,2023,6,Kharif,1291,840.0
Maize,Maharashtra,Aurangabad,2023,7,Kharif,1350,840.0
Maize,Maharashtra,Pune,2023,8,Kharif,1363,840.0
Maize,Maharashtra,Nagpur,2023,9,Kharif,1307,840.0
Maize,Maharashtra,Nagpur,2023,10,Rabi,1314,840.0
Maize,Maharashtra,Aurangabad,2023,11,Rabi,1343,840.0
Maize,Maharashtra,Aurangabad,2023,12,Rabi,1342,840.0
Maize,Maharashtra,Nagpur,2024,1,Rabi,1235,840.0
Maize,Maharashtra,Aurangabad,2024,2,Rabi,1265,840.0
Maize,Maharashtra,Nashik,2024,3,Rabi,1260,840.0
Maize,Maharashtra,Nashik,2024,4,Zaid,1254,840.0
Maize,Maharashtra,Pune,2024,5,Zaid,1281,840.0
Maize,Maharashtra,Aurangabad,2024,6,Kharif,1245,840.0
Maize,Maharashtra,Aurangabad,2024,7,Kharif,1282,840.0
Maize,Maharashtra,Aurangabad,2024,8,Kharif,1313,840.0
Maize,Maharashtra,Nashik,2024,9,Kharif,1314,840.0
Maize,Maharashtra,Aurangabad,2024,10,Rabi,1374,840.0
Maize,Maharashtra,Pune,2024,11,Rabi,1406,840.0
Maize,Maharashtra,Pune,2024,12,Rabi,1391,840.0
Soybean,Maharashtra,Pune,2022,1,Rabi,2465,1750.0
Soybean,Maharashtra,Nashik,2022,2,Rabi,2506,1750.0
Soybean,Maharashtra,Pune,2022,3,Rabi,2571,1750.0
Soybean,Maharashtra,Nagpur,2022,4,Zaid,2512,1750.0
Soybean,Maharashtra,Aurangabad,2022,5,Zaid,2594,1750.0
Soybean,Maharashtra,Pune,2022,6,Kharif,2566,1750.0
Soybean,Maharashtra,Pune,2022,7,Kharif,2616,1750.0
Soybean,Maharashtra,Nagpur,2022,8,Kharif,2666,1750.0
Soybean,Maharashtra,Aurangabad,2022,9,Kharif,2628,1750.0
Soybean,Maharashtra,Nagpur,2022,10,Rabi,2678,1750.0
Soybean,Maharashtra,Aurangabad,2022,11,Rabi,2646,1750.0
Soybean,Maharashtra,Pune,2022,12,Rabi,2717,1750.0
Soybean,Maharashtra,Pune,2023,1,Rabi,2516,1750.0
Soybean,Maharashtra,Pune,2023,2,Rabi,2541,1750.0
Soybean,Maharashtra,Aurangabad,2023,3,Rabi,2552,1750.0
Soybean,Maharashtra,Nashik,2023,4,Zaid,2521,1750.0
Soybean,Maharashtra,Nashik,2023,5,Zaid,2563,1750.0
Soybean,Maharashtra,Pune,2023,6,Kharif,2542,1750.0
Soybean,Maharashtra,Pune,2023,7,Kharif,2610,1750.0
Soybean,Maharashtra,Pune,2023,8,Kharif,2628,1750.0
Soybean,Maharashtra,Nashik,2023,9,Kharif,2586,1750.0
Soybean,Maharashtra,Nashik,2023,10,Rabi,2691,1750.0
Soybean,Maharashtra,Pune,2023,11,Rabi,2701,1750.0
Soybean,Maharashtra,Pune,2023,12,Rabi,2725,1750.0
Soybean,Maharashtra,Nagpur,2024,1,Rabi,2465,1750.0
Soybean,Maharashtra,Pune,2024,2,Rabi,2481,1750.0
Soybean,Maharashtra,Nashik,2024,3,Rabi,2538,1750.0
Soybean,Maharashtra,Nashik,2024,4,Zaid,2541,1750.0
Soybean,Maharashtra,Nagpur,2024,5,Zaid,2556,1750.0
Soybean,Maharashtra,Nagpur,2024,6,Kharif,2607,1750.0
Soybean,Maharashtra,Aurangabad,2024,7,Kharif,2629,1750.0
Soybean,Maharashtra,Nagpur,2024,8,Kharif,2586,1750.0
Soybean,Maharashtra,Aurangabad,2024,9,Kharif,2622,1750.0
Soybean,Maharashtra,Aurangabad,2024,10,Rabi,2668,1750.0
Soybean,Maharashtra,Nashik,2024,11,Rabi,2712,1750.0
Soybean,Maharashtra,Nagpur,2024,12,Rabi,2715,1750.0
Cotton,Maharashtra,Pune,2022,1,Rabi,4480,3150.0
Cotton,Maharashtra,Aurangabad,2022,2,Rabi,4552,3150.0
Cotton,Maharashtra,Nashik,2022,3,Rabi,4553,3150.0
Cotton,Maharashtra,Pune,2022,4,Zaid,4589,3150.0
Cotton,Maharashtra,Aurangabad,2022,5,Zaid,4527,3150.0
Cotton,Maharashtra,Aurangabad,2022,6,Kharif,4598,3150.0
Cotton,Maharashtra,Nashik,2022,7,Kharif,4573,3150.0
Cotton,Maharashtra,Nagpur,2022,8,Kharif,4636,3150.0
Cotton,Maharashtra,Aurangabad,2022,9,Kharif,4603,3150.0
Cotton,Maharashtra,Nagpur,2022,10,Rabi,4695,3150.0
Cotton,Maharashtra,Pune,2022,11,Rabi,4666,3150.0
Cotton,Maharashtra,Aurangabad,2022,12,Rabi,4662,3150.0
Cotton,Maharashtra,Nashik,2023,1,Rabi,4503,3150.0
Cotton,Maharashtra,Nagpur,2023,2,Rabi,4480,3150.0
Cotton,Maharashtra,Pune,2023,3,Rabi,4586,3150.0
Cotton,Maharashtra,Nashik,2023,4,Zaid,4598,3150.0
Cotton,Maharashtra,Nagpur,2023,5,Zaid,4547,3150.0
Cotton,Maharashtra,Nashik,2023,6,Kharif,4633,3150.0
Cotton,Maharashtra,Nagpur,2023,7,Kharif,4653,3150.0
Cotton,Maharashtra,Nashik,2023,8,Kharif,4585,3150.0
Cotton,Maharashtra,Pune,2023,9,Kharif,4644,3150.0
Cotton,Maharashtra,Pune,2023,10,Rabi,4601,3150.0
Cotton,Maharashtra,Nashik,2023,11,Rabi,4662,3150.0
Cotton,Maharashtra,Pune,2023,12,Rabi,4641,3150.0
Cotton,Maharashtra,Aurangabad,2024,1,Rabi,4501,3150.0
Cotton,Maharashtra,Pune,2024,2,Rabi,4488,3150.0
Cotton,Maharashtra,Nagpur,2024,3,Rabi,4593,3150.0
Cotton,Maharashtra,Aurangabad,2024,4,Zaid,4557,3150.0
Cotton,Maharashtra,Aurangabad,2024,5,Zaid,4527,3150.0
Cotton,Maharashtra,Nashik,2024,6,Kharif,4563,3150.0
Cotton,Maharashtra,Aurangabad,2024,7,Kharif,4587,3150.0
Cotton,Maharashtra,Pune,2024,8,Kharif,4644,3150.0
Cotton,Maharashtra,Aurangabad,2024,9,Kharif,4656,3150.0
Cotton,Maharashtra,Aurangabad,2024,10,Rabi,4637,3150.0
Cotton,Maharashtra,Nashik,2024,11,Rabi,4698,3150.0
Cotton,Maharashtra,Aurangabad,2024,12,Rabi,4728,3150.0
Sugarcane,Maharashtra,Nagpur,2022,1,Rabi,353,210.0
Sugarcane,Maharashtra,Pune,2022,2,Rabi,304,210.0
Sugarcane,Maharashtra,Aurangabad,2022,3,Rabi,312,210.0
Sugarcane,Maharashtra,Nashik,2022,4,Zaid,391,210.0
Sugarcane,Maharashtra,Nagpur,2022,5,Zaid,378,210.0
Sugarcane,Maharashtra,Pune,2022,6,Kharif,419,210.0
Sugarcane,Maharashtra,Aurangabad,2022,7,Kharif,395,210.0
Sugarcane,Maharashtra,Aurangabad,2022,8,Kharif,402,210.0
Sugarcane,Maharashtra,Nashik,2022,9,Kharif,417,210.0
Sugarcane,Maharashtra,Aurangabad,2022,10,Rabi,420,210.0
Sugarcane,Maharashtra,Aurangabad,2022,11,Rabi,434,210.0
Sugarcane,Maharashtra,Nagpur,2022,12,Rabi,437,210.0
Sugarcane,Maharashtra,Pune,2023,1,Rabi,331,210.0
Sugarcane,Maharashtra,Aurangabad,2023,2,Rabi,312,210.0
Sugarcane,Maharashtra,Nagpur,2023,3,Rabi,370,210.0
Sugarcane,Maharashtra,Nagpur,2023,4,Zaid,395,210.0
Sugarcane,Maharashtra,Nashik,2023,5,Zaid,346,210.0
Sugarcane,Maharashtra,Nashik,2023,6,Kharif,369,210.0
Sugarcane,Maharashtra,Nashik,2023,7,Kharif,405,210.0
Sugarcane,Maharashtra,Nagpur,2023,8,Kharif,377,210.0
Sugarcane,Maharashtra,Nashik,2023,9,Kharif,411,210.0
Sugarcane,Maharashtra,Nashik,2023,10,Rabi,420,210.0
Sugarcane,Maharashtra,Aurangabad,2023,11,Rabi,511,210.0
Sugarcane,Maharashtra,Pune,2023,12,Rabi,493,210.0
Sugarcane,Maharashtra,Aurangabad,2024,1,Rabi,333,210.0
Sugarcane,Maharashtra,Aurangabad,2024,2,Rabi,340,210.0
Sugarcane,Maharashtra,Aurangabad,2024,3,Rabi,313,210.0
Sugarcane,Maharashtra,Aurangabad,2024,4,Zaid,344,210.0
Sugarcane,Maharashtra,Aurangabad,2024,5,Zaid,373,210.0
Sugarcane,Maharashtra,Aurangabad,2024,6,Kharif,356,210.0
Sugarcane,Maharashtra,Nashik,2024,7,Kharif,446,210.0
Sugarcane,Maharashtra,Nashik,2024,8,Kharif,462,210.0
Sugarcane,Maharashtra,Nagpur,2024,9,Kharif,390,210.0
Sugarcane,Maharashtra,Aurangabad,2024,10,Rabi,436,210.0
Sugarcane,Maharashtra,Pune,2024,11,Rabi,507,210.0
Sugarcane,Maharashtra,Pune,2024,12,Rabi,475,210.0
